n_estimators,max_depth,learning_rate,gamma,min_child_weight,subsample,scale_pos_weight,reg_alpha,colsample_bytree,seed,mse,net_mse
50,2,0.7,0.0,1,1.0,1.0,6.560545801839342,0.879847960417763,0,86269.76254649198,-59.41915081119805
50,3,0.3,0.0,1,1.0,1.0,101.87562375990234,0.9854587771067516,0,86272.69727994977,-56.48441735340748
150,3,0.2,0.0,1,1.0,1.0,61.966004609354016,0.9858294839965771,0,86272.7853574382,-56.39633986497938
500,2,0.005,0.0,1,1.0,1.0,7.870784576056161,0.9671971960573209,0,86273.28496044266,-55.89673686052265
200,2,0.5,0.0,1,1.0,1.0,42.55141061245078,0.9477790571672792,0,86282.16971160397,-47.01198569920962
1000,2,0.3,0.0,1,1.0,1.0,12.22654541654852,0.9876346452211793,0,86284.1943861734,-44.98731112977839
250,2,0.5,0.0,1,1.0,1.0,14.411874833567495,0.9962680064455602,0,86289.85158341848,-39.33011388470186
750,4,0.005,0.0,1,1.0,1.0,30.02658762502254,0.9130935790680611,0,86290.02336704374,-39.15833025943721
500,4,0.005,0.0,1,1.0,1.0,3.3558411085255,0.8091571980817436,0,86296.51915504862,-32.66254225456214
150,2,0.7,0.0,1,1.0,1.0,0.7894401957225591,0.9207624382014715,0,86310.82197184913,-18.35972545405093
250,1,0.2,0.0,1,1.0,1.0,63.82990652648384,0.8911354104487551,0,86317.82522513808,-11.356472165105515
750,1,0.1,0.0,1,1.0,1.0,6.742401506157545,0.9538188083830975,0,86317.9422443113,-11.23945299188199
150,1,0.3,0.0,1,1.0,1.0,57.760978655917796,0.9981581452727563,0,86318.0415455938,-11.140151709376369
1000,1,0.1,0.0,1,1.0,1.0,54.95701025050879,0.9174965240221266,0,86318.08158397552,-11.100113327658619
250,1,0.3,0.0,1,1.0,1.0,12.908217426111342,0.9708421067056999,0,86318.09045049745,-11.091246805735864
500,1,0.1,0.0,1,1.0,1.0,42.9857263557998,0.953793601061976,0,86318.14069389673,-11.041003406455275
1000,1,0.05,0.0,1,1.0,1.0,66.23165180368693,0.8952621318076251,0,86318.14850079261,-11.033196510572452
200,1,0.3,0.0,1,1.0,1.0,3.8511707111490203,0.9059000776864247,0,86318.14993364418,-11.031763659004355
500,1,0.3,0.0,1,1.0,1.0,0.02109914824327191,0.8883892627333794,0,86318.39235156571,-10.789345737473923
200,1,0.2,0.0,1,1.0,1.0,13.77913536967127,0.9856543385055074,0,86318.53440768014,-10.647289623040706
250,1,0.5,0.0,1,1.0,1.0,42.646869494339015,0.9994669888481459,0,86318.65079638755,-10.530900915633538
150,1,0.7,0.0,1,1.0,1.0,70.89762801022694,0.8574059896076333,0,86318.6863389815,-10.495358321684762
750,1,0.3,0.0,1,1.0,1.0,29.443238367903895,0.9363492926074845,0,86318.76260304645,-10.419094256736571
150,1,0.5,0.0,1,1.0,1.0,4.022934050093055,0.8438996153380165,0,86318.85485157554,-10.326845727642649
750,1,0.05,0.0,1,1.0,1.0,32.43097712378653,0.9552490237580513,0,86318.9371912106,-10.244506092582014
200,1,0.5,0.0,1,1.0,1.0,40.40786086928031,0.8587913684699982,0,86318.95989496498,-10.221802338201087
200,1,0.7,0.0,1,1.0,1.0,49.53999715542254,0.9813559989569702,0,86318.96489541305,-10.216801890128409
1000,1,0.3,0.0,1,1.0,1.0,64.61474766951592,0.5540692623945392,0,86319.13183401102,-10.049863292166265
250,1,0.7,0.0,1,1.0,1.0,67.52375892720168,0.6750904242957593,0,86319.16817559076,-10.013521712418878
100,1,0.5,0.0,1,1.0,1.0,29.885007015693272,0.9412390098003359,0,86319.24042797496,-9.941269328221097
100,1,0.7,0.0,1,1.0,1.0,45.242968196880454,0.9349492311655943,0,86319.28249789962,-9.899199403560488
150,1,0.2,0.0,1,1.0,1.0,78.18579386571828,0.7424908811415988,0,86319.54459017105,-9.637107132133679
100,1,0.3,0.0,1,1.0,1.0,26.450457610357553,0.9478861956665697,0,86319.60386285902,-9.577834444164182
200,1,0.9,0.0,1,1.0,1.0,45.14968901775925,0.8599545160821239,0,86319.75036337496,-9.431333928223467
100,1,0.9,0.0,1,1.0,1.0,7.898331492832006,0.8283140553994324,0,86320.02989711068,-9.15180019249965
150,1,0.9,0.0,1,1.0,1.0,118.05519189839369,0.7342845503525435,0,86320.15339683284,-9.028300470337854
250,1,0.9,0.0,1,1.0,1.0,194.64693483604313,0.9344545815347377,0,86320.35355315641,-8.828144146769773
